,hotel_name,Class of Rating,Rating
729,Mott Street Apt 3B,None,None
730,New York One,None,None
731,One Bedroom Apartment in Hell's Kitchen,None,None
732,Beautiful Midtown East 1 Bedroom apartment,None,None
733,Fitzpatrick Manhattan,Excellent,8.7
734,Centria,None,None
735,East Side 3 bed 2 bath (6),Good,7.1
736,Modern Studio Apartment - Midtown East L,None,None
737,Lita's New York Apartments,Very Good,8.5
738,Hampton Inn Madison Square Garden,Excellent,8.6
739,West Village Penthouse,None,None
740,Modern Prewar Midtown 2 Bedroom Apt.,None,None
741,Best Western Plus Hospitality House Suites,Very Good,8.4
742,West 46th Street Apt 4C/4RW,None,None
743,The St. Nicolas in Harlem,None,None
744,Two Bedroom Apartment - Madison Avenue,Good,7.1
745,Ivy Tower Suites in Times Square,Excellent,8.8
746,Luxury Apartments Greenwich Village,Review score,5.8
747,The Suite New York,None,None
748,Sugar Hill Suites,Review score,6.4
749,Studio Apartment - Financial District,Review score,6.5
750,Holiday Inn Express - Wall Street,Very Good,8.1
751,NYC Best apartment near the UN,Review score,5.5
752,Apartments Lincoln Center,Very Good,8.0
753,The Nomad Suites,Good,7.4
754,Colonial House Inn,Very Good,8.2
755,NY Away - Central Park UWS 2-Bedroom,Review score,6.6
756,Luxury Studio Apartment - Garment District,None,None
757,The Pearl Hotel,Excellent,8.9
758,Apartment Midtown Garden,None,None
759,Holiday Inn Manhattan 6th Ave - Chelsea,Good,7.6
760,East 14th Street Apt 5A,None,None
761,3 West Club,Very Good,8.2
762,Places4stay Greenwich Comfort Rooftop,None,None
763,The Broome,Awesome,9.2
764,Apartment Close to Time Square,Very Good,8.5
765,"The Standard, High Line New York",Very Good,8.3
766,Apartment Close to Time Square,Very Good,8.5
767,W New York - Times Square,Good,7.9
768,Apartment 2BD/ 2BA E 7th St,None,None
769,Places4stay Times Square Luxury,None,None
770,Apartment Clayton.3,None,None
771,Hotel 17 - Extended Stay,Good,7.9
772,Interfaith East Village,Very Good,8.0
773,Renovated Midtown East Apartments,Review score,6.4
774,Luxury 2B/1B UWS GEM,Good,7.1
775,Hotel Hayden New York,Very Good,8.0
776,Rostel,Review score,6.3
777,Charles Street,None,None
778,East Side 3 Bedroom and 2 Bathroom Apartment (3),Good,7.8
779,Places4stay Times Square Comfort Rooftop,None,None
780,Hotel Hayden New York,Very Good,8.0
781,Rostel,Review score,6.3
782,Charles Street,None,None
783,East Side 3 Bedroom and 2 Bathroom Apartment (3),Good,7.8
784,Places4stay Times Square Comfort Rooftop,None,None
785,NYC Midtown Suites,Review score,6.6
786,45th Street Condo #228767,None,None
787,East Street Apartment #232471 Apts,None,None
788,Comfort Inn Lower East Side,Good,7.9
789,Global Luxury Suites at Olympia House,None,None
790,Apartment Chelsea,None,None
